qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
1,18,1,1,22,1,1:26.572,1:25.187,1:26.714
2,18,9,2,4,2,1:26.103,1:25.315,1:26.869
3,18,5,1,23,3,1:25.664,1:25.452,1:27.079
4,18,13,6,2,4,1:25.994,1:25.691,1:27.178
5,18,2,2,3,5,1:25.960,1:25.518,1:27.236
6,18,15,7,11,6,1:26.427,1:26.101,1:28.527
7,18,3,3,7,7,1:26.295,1:26.059,1:28.687
8,18,14,9,9,8,1:26.381,1:26.063,1:29.041
9,18,10,7,12,9,1:26.919,1:26.164,1:29.593
10,18,20,5,15,10,1:26.702,1:25.842,NoData
11,18,22,11,17,11,1:26.369,1:26.173,NoData
12,18,4,4,5,12,1:26.907,1:26.188,NoData
13,18,18,11,16,13,1:26.712,1:26.259,NoData
14,18,6,3,8,14,1:26.891,1:26.413,NoData
15,18,17,9,10,15,1:26.914,NoData,NoData
16,18,8,6,1,16,1:26.140,NoData,NoData
17,18,21,10,21,17,1:27.207,NoData,NoData
18,18,7,5,14,18,1:27.446,NoData,NoData
19,18,16,10,20,19,1:27.859,NoData,NoData
20,18,11,8,18,20,1:28.208,NoData,NoData
21,18,12,4,6,21,1:28.330,NoData,NoData
22,18,19,8,19,22,1:29.059,NoData,NoData
23,19,13,6,2,1,1:35.347,1:34.412,1:35.748
24,19,8,6,1,2,1:35.645,1:34.188,1:36.230
25,19,5,1,23,3,1:35.227,1:34.759,1:36.613
26,19,1,1,22,4,1:35.392,1:34.627,1:36.709
27,19,15,7,11,5,1:35.205,1:34.960,1:36.711
28,19,9,2,4,6,1:35.794,1:34.811,1:36.727
29,19,2,2,3,7,1:35.729,1:34.648,1:36.753
30,19,17,9,10,8,1:35.440,1:34.967,1:37.009
31,19,4,4,5,9,1:35.983,1:35.140,1:38.450
32,19,10,7,12,10,1:35.891,1:35.000,1:39.656
33,19,18,11,16,11,1:35.847,1:35.208,NoData
34,19,14,9,9,12,1:36.058,1:35.408,NoData
35,19,12,4,6,13,1:36.074,1:35.562,NoData
36,19,22,11,17,14,1:36.198,1:35.622,NoData
37,19,20,5,15,15,1:36.111,1:35.648,NoData
38,19,3,3,7,16,1:35.843,1:35.670,NoData
39,19,21,10,21,17,1:36.240,NoData,NoData
40,19,6,3,8,18,1:36.388,NoData,NoData
41,19,7,5,14,19,1:36.677,NoData,NoData
42,19,11,8,18,20,1:37.087,NoData,NoData
43,19,16,10,20,21,1:37.101,NoData,NoData
44,19,19,8,19,22,1:37.481,NoData,NoData
45,20,9,2,4,1,1:32.893,1:31.745,1:33.096
46,20,13,6,2,2,1:31.937,1:31.188,1:33.123
47,20,1,1,22,3,1:32.750,1:31.922,1:33.292
48,20,8,6,1,4,1:32.652,1:31.933,1:33.418
49,20,5,1,23,5,1:33.057,1:31.718,1:33.488
50,20,2,2,3,6,1:33.137,1:31.909,1:33.737
51,20,15,7,11,7,1:32.493,1:32.159,1:33.994
52,20,3,3,7,8,1:32.903,1:32.185,1:34.015
53,20,18,11,16,9,1:32.793,1:32.362,1:35.057
54,20,4,4,5,10,1:32.947,1:32.345,1:35.115
55,20,17,9,10,11,1:33.194,1:32.371,NoData
56,20,22,11,17,12,1:32.944,1:32.508,NoData
57,20,10,7,12,13,1:32.800,1:32.528,NoData
58,20,12,4,6,14,1:32.975,1:32.790,NoData
59,20,7,5,14,15,1:33.415,1:32.915,NoData
60,20,6,3,8,16,1:33.386,1:32.943,NoData
61,20,14,9,9,17,1:33.433,NoData,NoData
62,20,21,10,21,18,1:33.501,NoData,NoData
63,20,20,5,15,19,1:33.562,NoData,NoData
64,20,16,10,20,20,1:33.845,NoData,NoData
65,20,19,8,19,21,1:34.140,NoData,NoData
66,20,11,8,18,22,1:35.725,NoData,NoData
67,21,8,6,1,1,1:20.701,1:20.784,1:21.813
68,21,4,4,5,2,1:21.347,1:20.804,1:21.904
69,21,13,6,2,3,1:21.528,1:20.584,1:22.058
70,21,9,2,4,4,1:21.423,1:20.597,1:22.065
71,21,1,1,22,5,1:21.366,1:20.825,1:22.096
72,21,5,1,23,6,1:21.430,1:20.817,1:22.231
73,21,17,9,10,7,1:21.494,1:20.984,1:22.429
74,21,15,7,11,8,1:21.158,1:20.907,1:22.529
75,21,2,2,3,9,1:21.466,1:20.815,1:22.542
76,21,12,4,6,10,1:21.409,1:20.894,1:22.699
77,21,22,11,17,11,1:21.548,1:21.049,NoData
78,21,6,3,8,12,1:21.690,1:21.117,NoData
79,21,18,11,16,13,1:21.757,1:21.211,NoData
80,21,10,7,12,14,1:21.427,1:21.230,NoData
81,21,3,3,7,15,1:21.472,1:21.349,NoData
82,21,7,5,14,16,1:21.540,1:21.724,NoData
83,21,14,9,9,17,1:21.810,NoData,NoData
84,21,20,5,15,18,1:22.108,NoData,NoData
85,21,21,10,21,19,1:22.516,NoData,NoData
86,21,16,10,20,20,1:23.224,NoData,NoData
87,21,19,8,19,21,1:23.318,NoData,NoData
88,21,11,8,18,22,1:23.496,NoData,NoData
89,22,13,6,2,1,1:25.994,1:26.192,1:27.617
90,22,5,1,23,2,1:26.736,1:26.290,1:27.808
91,22,1,1,22,3,1:26.192,1:26.477,1:27.923
92,22,8,6,1,4,1:26.457,1:26.050,1:27.936
93,22,9,2,4,5,1:26.761,1:26.129,1:28.390
94,22,17,9,10,6,1:26.773,1:26.466,1:28.417
95,22,4,4,5,7,1:26.836,1:26.522,1:28.422
96,22,15,7,11,8,1:26.695,1:26.822,1:28.836
97,22,2,2,3,9,1:27.107,1:27.607,1:28.882
98,22,14,9,9,10,1:26.939,1:26.520,1:29.959
99,22,3,3,7,11,1:27.367,1:27.012,NoData
100,22,22,11,17,12,1:27.355,1:27.219,NoData
101,22,18,11,16,13,1:27.428,1:27.298,NoData
102,22,20,5,15,14,1:27.442,1:27.412,NoData
103,22,10,7,12,15,1:26.614,1:27.806,NoData
104,22,6,3,8,16,1:27.547,NoData,NoData
105,22,12,4,6,17,1:27.568,NoData,NoData
106,22,7,5,14,18,1:27.621,NoData,NoData
107,22,21,10,21,19,1:27.807,NoData,NoData
108,22,16,10,20,20,1:28.325,NoData,NoData
109,23,13,6,2,1,1:15.190,1:15.110,1:15.787
110,23,8,6,1,2,1:15.717,1:15.404,1:15.815
111,23,1,1,22,3,1:15.582,1:15.322,1:15.839
112,23,5,1,23,4,1:15.295,1:15.389,1:16.165
113,23,9,2,4,5,1:15.977,1:15.483,1:16.171
114,23,3,3,7,6,1:15.935,1:15.287,1:16.548
115,23,4,4,5,7,1:16.646,1:15.827,1:16.852
116,23,15,7,11,8,1:16.306,1:15.598,1:17.203
117,23,17,9,10,9,1:16.074,1:15.745,1:17.343
118,23,14,9,9,10,1:16.086,1:15.839,NoData
119,23,10,7,12,11,1:16.285,1:15.907,NoData
120,23,18,11,16,12,1:16.259,1:16.101,NoData
121,23,2,2,3,13,1:16.650,1:16.455,NoData
122,23,6,3,8,14,1:16.756,1:16.479,NoData
123,23,22,11,17,15,1:16.208,1:16.537,NoData
124,23,7,5,14,16,1:16.806,NoData,NoData
125,23,12,4,6,17,1:16.933,NoData,NoData
126,23,20,5,15,18,1:16.955,NoData,NoData
127,23,16,10,20,19,1:17.225,NoData,NoData
128,23,21,10,21,20,1:17.823,NoData,NoData
129,24,1,1,22,1,1:16.909,1:17.034,1:17.886
130,24,9,2,4,2,1:17.471,1:17.679,1:18.498
131,24,8,6,1,3,1:17.301,1:17.364,1:18.735
132,24,4,4,5,4,1:17.415,1:17.488,1:18.746
133,24,3,3,7,5,1:17.991,1:17.891,1:18.844
134,24,13,6,2,6,1:17.231,1:17.353,1:19.048
135,24,5,1,23,7,1:17.287,1:17.684,1:19.089
136,24,2,2,3,8,1:18.082,1:17.781,1:19.633
137,24,22,11,17,9,1:18.256,1:18.020,1:20.848
138,24,17,9,10,10,1:17.582,1:17.523,NoData
139,24,10,7,12,11,1:18.321,1:18.031,NoData
140,24,6,3,8,12,1:17.638,1:18.062,NoData
141,24,14,9,9,13,1:18.168,1:18.238,NoData
142,24,15,7,11,14,1:18.039,1:18.327,NoData
143,24,12,4,6,15,1:18.505,1:18.393,NoData
144,24,7,5,14,16,1:18.916,NoData,NoData
145,24,16,10,20,17,1:19.108,NoData,NoData
146,24,21,10,21,18,1:19.165,NoData,NoData
147,24,18,11,16,19,1:23.565,NoData,NoData
148,24,20,5,15,20,NoData,NoData,NoData
149,25,8,6,1,1,1:15.133,1:15.161,1:16.449
150,25,13,6,2,2,1:15.024,1:15.041,1:16.490
151,25,1,1,22,3,1:15.634,1:15.293,1:16.693
152,25,4,4,5,4,1:15.754,1:15.483,1:16.840
153,25,15,7,11,5,1:15.521,1:15.362,1:16.920
154,25,5,1,23,6,1:15.965,1:15.639,1:16.944
155,25,9,2,4,7,1:15.687,1:15.723,1:17.037
156,25,17,9,10,8,1:16.020,1:15.488,1:17.233
157,25,14,9,9,9,1:15.802,1:15.654,1:17.426
158,25,10,7,12,10,1:15.727,1:15.558,1:17.596
159,25,12,4,6,11,1:15.848,1:15.770,NoData
160,25,2,2,3,12,1:16.006,1:15.786,NoData
161,25,20,5,15,13,1:15.918,1:15.816,NoData
162,25,7,5,14,14,1:16.072,1:16.045,NoData
163,25,3,3,7,15,1:16.085,1:16.235,NoData
164,25,6,3,8,16,1:16.243,NoData,NoData
165,25,18,11,16,17,1:16.306,NoData,NoData
166,25,22,11,17,18,1:16.330,NoData,NoData
167,25,21,10,21,19,1:16.971,NoData,NoData
168,25,16,10,20,20,1:17.053,NoData,NoData
169,26,5,1,23,1,1:19.957,1:19.597,1:21.049
170,26,17,9,10,2,1:20.982,1:19.710,1:21.554
171,26,8,6,1,3,1:20.370,1:19.971,1:21.706
172,26,1,1,22,4,1:20.288,1:19.537,1:21.835
173,26,2,2,3,5,1:21.022,1:19.802,1:21.873
174,26,4,4,5,6,1:20.998,1:19.992,1:22.029
175,26,12,4,6,7,1:20.818,1:20.115,1:22.491
176,26,20,5,15,8,1:20.318,1:20.109,1:23.251
177,26,13,6,2,9,1:20.676,1:20.086,1:23.305
178,26,9,2,4,10,1:20.444,1:19.788,NoData
179,26,14,9,9,11,1:21.224,1:20.174,NoData
180,26,10,7,12,12,1:20.893,1:20.274,NoData
181,26,7,5,14,13,1:20.584,1:20.531,NoData
182,26,15,7,11,14,1:21.145,1:20.601,NoData
183,26,6,3,8,15,1:21.407,1:21.112,NoData
184,26,22,11,17,16,1:21.512,NoData,NoData
185,26,18,11,16,17,1:21.631,NoData,NoData
186,26,3,3,7,18,1:21.668,NoData,NoData
187,26,16,10,20,19,1:21.786,NoData,NoData
188,26,21,10,21,20,1:21.885,NoData,NoData
189,27,1,1,22,1,1:15.218,1:14.603,1:15.666
190,27,13,6,2,2,1:14.921,1:14.747,1:15.859
191,27,5,1,23,3,1:15.476,1:14.855,1:16.143
192,27,15,7,11,4,1:15.560,1:15.122,1:16.191
193,27,4,4,5,5,1:15.917,1:14.943,1:16.385
194,27,8,6,1,6,1:15.201,1:14.949,1:16.389
195,27,9,2,4,7,1:15.985,1:15.109,1:16.521
196,27,17,9,10,8,1:15.900,1:15.481,1:17.014
197,27,20,5,15,9,1:15.532,1:15.420,1:17.244
198,27,14,9,9,10,1:15.975,1:15.338,1:17.503
199,27,10,7,12,11,1:15.560,1:15.508,NoData
200,27,2,2,3,12,1:15.596,1:15.581,NoData
201,27,3,3,7,13,1:15.863,1:15.633,NoData
202,27,18,11,16,14,1:15.993,1:15.701,NoData
203,27,7,5,14,15,1:15.927,1:15.858,NoData
204,27,6,3,8,16,1:16.083,NoData,NoData
205,27,12,4,6,17,1:16.189,NoData,NoData
206,27,22,11,17,18,1:16.246,NoData,NoData
207,27,16,10,20,19,1:16.657,NoData,NoData
208,27,21,10,21,20,1:16.963,NoData,NoData
209,28,1,1,22,1,1:19.376,1:19.473,1:20.899
210,28,5,1,23,2,1:19.945,1:19.480,1:21.140
211,28,13,6,2,3,1:19.578,1:19.068,1:21.191
212,28,9,2,4,4,1:20.053,1:19.776,1:21.281
213,28,10,7,12,5,1:19.980,1:19.246,1:21.326
214,28,8,6,1,6,1:20.006,1:19.546,1:21.516
215,28,4,4,5,7,1:20.229,1:19.816,1:21.698
216,28,17,9,10,8,1:20.073,1:20.046,1:21.732
217,28,15,7,11,9,1:19.942,1:19.486,1:21.767
218,28,12,4,6,10,1:20.583,1:20.131,1:22.371
219,28,20,5,15,11,1:20.157,1:20.144,NoData
220,28,18,11,16,12,1:20.888,1:20.332,NoData
221,28,14,9,9,13,1:20.505,1:20.502,NoData
222,28,7,5,14,14,1:20.640,1:20.963,NoData
223,28,3,3,7,15,1:20.748,NoData,NoData
224,28,2,2,3,16,1:21.045,NoData,NoData
225,28,6,3,8,17,1:21.085,NoData,NoData
226,28,22,11,17,18,1:21.332,NoData,NoData
227,28,21,10,21,19,1:21.670,NoData,NoData
228,28,16,10,20,20,1:22.113,NoData,NoData
229,29,13,6,2,1,1:38.176,1:37.859,1:38.989
230,29,1,1,22,2,1:38.464,1:37.954,1:39.199
231,29,9,2,4,3,1:38.347,1:38.050,1:39.392
232,29,8,6,1,4,1:38.703,1:38.229,1:39.488
233,29,5,1,23,5,1:38.656,1:38.120,1:39.937
234,29,20,5,15,6,1:38.141,1:37.842,1:40.142
235,29,15,7,11,7,1:37.948,1:37.928,1:40.309
236,29,2,2,3,8,1:38.738,1:37.859,1:40.631
237,29,3,3,7,9,1:38.595,1:38.336,1:40.721
238,29,7,5,14,10,1:38.622,1:38.417,1:40.750
239,29,6,3,8,11,1:38.667,1:38.428,NoData
240,29,4,4,5,12,1:38.268,1:38.435,NoData
241,29,10,7,12,13,1:38.532,1:38.499,NoData
242,29,17,9,10,14,1:38.559,1:38.515,NoData
243,29,12,4,6,15,1:38.787,1:38.744,NoData
244,29,18,11,16,16,1:38.880,NoData,NoData
245,29,14,9,9,17,1:39.235,NoData,NoData
246,29,21,10,21,18,1:39.268,NoData,NoData
247,29,22,11,17,19,1:39.811,NoData,NoData
248,29,16,10,20,20,1:39.943,NoData,NoData
249,30,1,1,22,1,1:46.887,1:46.088,1:47.338
250,30,13,6,2,2,1:46.873,1:46.391,1:47.678
251,30,5,1,23,3,1:46.812,1:46.037,1:47.815
252,30,8,6,1,4,1:46.960,1:46.298,1:47.992
253,30,2,2,3,5,1:47.419,1:46.311,1:48.315
254,30,4,4,5,6,1:47.154,1:46.491,1:48.504
255,30,17,9,10,7,1:47.270,1:46.814,1:48.736
256,30,9,2,4,8,1:47.093,1:46.494,1:48.763
257,30,7,5,14,9,1:46.777,1:46.544,1:48.951
258,30,20,5,15,10,1:47.152,1:46.804,1:50.319
259,30,15,7,11,11,1:47.400,1:46.949,NoData
260,30,12,4,6,12,1:47.052,1:46.965,NoData
261,30,10,7,12,13,1:47.359,1:46.995,NoData
262,30,14,9,9,14,1:47.132,1:47.018,NoData
263,30,3,3,7,15,1:47.503,1:47.429,NoData
264,30,22,11,17,16,1:48.153,NoData,NoData
265,30,18,11,16,17,1:48.211,NoData,NoData
266,30,16,10,20,18,1:48.226,NoData,NoData
267,30,6,3,8,19,1:48.268,NoData,NoData
268,30,21,10,21,20,1:48.447,NoData,NoData
269,31,20,5,15,1,1:35.464,1:35.837,1:37.555
270,31,5,1,23,2,1:35.214,1:35.843,1:37.631
271,31,17,9,10,3,1:36.001,1:36.306,1:38.117
272,31,7,5,14,4,1:35.543,1:36.175,1:38.445
273,31,3,3,7,5,1:35.485,1:35.898,1:38.767
274,31,13,6,2,6,1:35.536,1:36.676,1:38.894
275,31,15,7,11,7,1:35.906,1:36.008,1:39.152
276,31,4,4,5,8,1:36.297,1:36.518,1:39.751
277,31,10,7,12,9,1:35.737,1:36.525,1:39.787
278,31,2,2,3,10,1:35.709,1:36.626,1:39.906
279,31,9,2,4,11,1:35.553,1:36.697,NoData
280,31,21,10,21,12,1:36.280,1:36.698,NoData
281,31,14,9,9,13,1:36.485,1:37.284,NoData
282,31,8,6,1,14,1:35.965,1:37.522,NoData
283,31,1,1,22,15,1:35.394,1:39.265,NoData
284,31,22,11,17,16,1:36.510,NoData,NoData
285,31,12,4,6,17,1:36.630,NoData,NoData
286,31,6,3,8,18,1:36.653,NoData,NoData
287,31,18,11,16,19,1:37.006,NoData,NoData
288,31,16,10,20,20,1:37.417,NoData,NoData
289,32,13,6,2,1,1:44.519,1:44.014,1:44.801
290,32,1,1,22,2,1:44.501,1:44.932,1:45.465
291,32,8,6,1,3,1:44.282,1:44.232,1:45.617
292,32,9,2,4,4,1:44.740,1:44.519,1:45.779
293,32,5,1,23,5,1:44.311,1:44.207,1:45.873
294,32,2,2,3,6,1:45.548,1:44.520,1:45.964
295,32,20,5,15,7,1:45.042,1:44.261,1:46.244
296,32,10,7,12,8,1:45.184,1:44.441,1:46.328
297,32,3,3,7,9,1:45.103,1:44.429,1:46.611
298,32,6,3,8,10,1:45.127,1:44.826,1:47.547
299,32,15,7,11,11,1:45.642,1:45.038,NoData
300,32,18,11,16,12,1:45.660,1:45.133,NoData
301,32,17,9,10,13,1:45.493,1:45.212,NoData
302,32,14,9,9,14,1:46.028,1:45.298,NoData
303,32,4,4,5,15,1:44.971,NoData,NoData
304,32,12,4,6,16,1:46.037,NoData,NoData
305,32,7,5,14,17,1:46.389,NoData,NoData
306,32,22,11,17,18,1:46.583,NoData,NoData
307,32,16,10,20,19,1:47.940,NoData,NoData
308,32,21,10,21,20,NoData,NoData,NoData
309,33,1,1,22,1,1:18.071,1:17.462,1:18.404
310,33,8,6,1,2,1:18.160,1:17.733,1:18.644
311,33,5,1,23,3,1:18.220,1:17.360,1:18.821
312,33,4,4,5,4,1:18.290,1:17.871,1:18.852
313,33,13,6,2,5,1:18.110,1:17.287,1:18.874
314,33,9,2,4,6,1:18.684,1:17.931,1:18.979
315,33,15,7,11,7,1:18.501,1:17.541,1:19.026
316,33,10,7,12,8,1:17.945,1:17.670,1:19.118
317,33,20,5,15,9,1:18.559,1:17.714,1:19.638
318,33,7,5,14,10,1:18.593,1:18.102,1:20.167
319,33,14,9,9,11,1:18.303,1:18.187,NoData
320,33,12,4,6,12,1:18.300,1:18.274,NoData
321,33,17,9,10,13,1:18.372,1:18.354,NoData
322,33,6,3,8,14,1:18.640,1:18.594,NoData
323,33,3,3,7,15,1:18.740,1:18.672,NoData
324,33,2,2,3,16,1:18.835,NoData,NoData
325,33,22,11,17,17,1:18.882,NoData,NoData
326,33,18,11,16,18,1:19.100,NoData,NoData
327,33,16,10,20,19,1:19.163,NoData,NoData
328,33,21,10,21,20,1:19.910,NoData,NoData
329,34,1,1,22,1,1:35.566,1:34.947,1:36.303
330,34,8,6,1,2,1:35.983,1:35.355,1:36.645
331,34,13,6,2,3,1:35.971,1:35.135,1:36.889
332,34,4,4,5,4,1:35.769,1:35.461,1:36.927
333,34,5,1,23,5,1:35.623,1:35.216,1:36.930
334,34,17,9,10,6,1:36.238,1:35.686,1:37.083
335,34,2,2,3,7,1:36.224,1:35.403,1:37.201
336,34,20,5,15,8,1:35.752,1:35.386,1:37.685
337,34,15,7,11,9,1:36.104,1:35.715,1:37.934
338,34,7,5,14,10,1:36.239,1:35.478,1:38.885
339,34,12,4,6,11,1:36.029,1:35.722,NoData
340,34,9,2,4,12,1:36.503,1:35.814,NoData
341,34,10,7,12,13,1:36.210,1:35.937,NoData
342,34,22,11,17,14,1:36.640,1:36.079,NoData
343,34,3,3,7,15,1:36.434,1:36.210,NoData
344,34,14,9,9,16,1:36.731,NoData,NoData
345,34,6,3,8,17,1:36.863,NoData,NoData
346,34,18,11,16,18,1:37.053,NoData,NoData
347,34,16,10,20,19,1:37.730,NoData,NoData
348,34,21,10,21,20,1:37.739,NoData,NoData
349,35,13,6,2,1,1:11.830,1:11.875,1:12.368
350,35,15,7,11,2,1:12.226,1:12.107,1:12.737
351,35,8,6,1,3,1:12.083,1:11.950,1:12.825
352,35,1,1,22,4,1:12.213,1:11.856,1:12.830
353,35,5,1,23,5,1:12.366,1:11.768,1:12.917
354,35,4,4,5,6,1:12.214,1:12.090,1:12.967
355,35,20,5,15,7,1:12.390,1:11.845,1:13.082
356,35,2,2,3,8,1:12.371,1:12.026,1:13.297
357,35,7,5,14,9,1:12.498,1:12.075,1:14.105
358,35,10,7,12,10,1:12.223,1:11.909,1:14.230
359,35,12,4,6,11,1:12.348,1:12.137,NoData
360,35,17,9,10,12,1:12.409,1:12.289,NoData
361,35,9,2,4,13,1:12.381,1:12.300,NoData
362,35,14,9,9,14,1:12.690,1:12.717,NoData
363,35,22,11,17,15,1:12.548,1:13.139,NoData
364,35,6,3,8,16,1:12.800,NoData,NoData
365,35,18,11,16,17,1:12.810,NoData,NoData
366,35,3,3,7,18,1:13.002,NoData,NoData
367,35,21,10,21,19,1:13.426,NoData,NoData
368,35,16,10,20,20,1:13.508,NoData,NoData
369,36,8,6,6,1,1:26.644,1:25.644,1:26.072
370,36,4,1,1,2,1:26.697,1:25.326,1:26.493
371,36,2,2,9,3,1:26.895,1:25.358,1:26.556
372,36,1,1,2,4,1:26.674,1:25.577,1:26.755
373,36,9,2,10,5,1:26.696,1:25.882,1:27.347
374,36,21,4,3,6,1:27.270,1:25.944,1:27.634
375,36,17,9,15,7,1:26.978,1:26.623,1:27.934
376,36,15,7,12,8,1:27.014,1:26.688,1:28.404
377,36,23,7,11,9,1:27.328,1:26.739,1:28.692
378,36,11,8,22,10,1:27.365,1:26.758,1:28.871
379,36,19,8,23,11,1:26.986,1:26.909,NoData
380,36,3,3,16,12,1:27.596,1:26.914,NoData
381,36,5,4,4,13,1:27.529,1:26.964,NoData
382,36,18,11,7,14,1:27.540,1:27.264,NoData
383,36,25,3,17,15,1:27.479,1:27.393,NoData
384,36,13,6,5,16,1:26.712,NoData,NoData
385,36,22,11,8,17,1:27.679,NoData,NoData
386,36,26,5,19,18,1:28.305,NoData,NoData
387,36,14,9,14,19,1:28.579,NoData,NoData
388,36,24,5,18,20,1:29.267,NoData,NoData
389,36,16,12,20,21,1:29.339,NoData,NoData
390,36,27,12,21,22,1:31.932,NoData,NoData
391,37,13,6,5,1,1:35.340,1:34.454,1:35.043
392,37,4,1,1,2,1:34.942,1:34.057,1:35.310
393,37,8,6,6,3,1:35.138,1:34.687,1:35.479
394,37,1,1,2,4,1:35.028,1:34.650,1:36.045
395,37,2,2,9,5,1:35.617,1:35.203,1:36.543
396,37,3,3,16,6,1:35.755,1:35.380,1:36.829
397,37,9,2,10,7,1:35.294,1:34.739,1:36.839
398,37,15,7,12,8,1:35.666,1:35.255,1:36.902
399,37,23,7,11,9,1:35.736,1:35.595,1:37.078
400,37,17,9,15,10,1:35.727,1:35.579,1:37.345
401,37,5,4,4,11,1:36.092,1:35.630,NoData
402,37,21,4,3,12,1:35.879,1:35.706,NoData
403,37,14,9,14,13,1:35.730,1:35.766,NoData
404,37,11,8,22,14,1:36.430,1:35.945,NoData
405,37,18,11,7,15,1:35.913,1:36.088,NoData
406,37,24,5,18,16,1:36.140,1:36.145,NoData
407,37,26,5,19,17,1:36.578,NoData,NoData
408,37,19,8,23,18,1:36.816,NoData,NoData
409,37,22,11,8,19,1:36.827,NoData,NoData
410,37,25,3,17,20,1:37.326,NoData,NoData
411,37,27,12,21,21,1:38.279,NoData,NoData
412,37,16,12,20,22,1:38.415,NoData,NoData
413,38,13,6,5,1,1:32.443,1:31.359,1:32.652
414,38,1,1,2,2,1:32.580,1:31.752,1:32.935
415,38,8,6,6,3,1:33.161,1:31.812,1:33.131
416,38,4,1,1,4,1:33.049,1:32.214,1:33.192
417,38,2,2,9,5,1:33.164,1:32.154,1:33.404
418,38,9,2,10,6,1:33.348,1:32.292,1:33.710
419,38,21,4,3,7,1:33.556,1:32.889,1:34.056
420,38,17,9,15,8,1:33.496,1:32.808,1:34.106
421,38,15,7,12,9,1:33.218,1:32.429,1:34.154
422,38,3,3,16,10,1:33.349,1:32.815,1:34.399
423,38,25,3,17,11,1:33.759,1:32.915,NoData
424,38,5,4,4,12,1:33.467,1:32.935,NoData
425,38,19,8,23,13,1:33.299,1:33.082,NoData
426,38,23,7,11,14,1:33.923,1:33.294,NoData
427,38,22,11,8,15,1:33.776,1:33.624,NoData
428,38,18,11,7,16,1:33.967,1:33.731,NoData
429,38,11,8,22,17,1:33.984,NoData,NoData
430,38,24,5,18,18,1:34.024,NoData,NoData
431,38,26,5,19,19,1:34.333,NoData,NoData
432,38,16,12,20,20,1:35.280,NoData,NoData
433,38,14,9,14,21,1:35.341,NoData,NoData
434,38,27,12,12,22,1:35.533,NoData,NoData
435,39,13,6,5,1,1:21.375,1:20.597,1:21.421
436,39,4,1,1,2,1:21.609,1:20.797,1:21.451
437,39,8,6,6,3,1:21.802,1:20.741,1:21.723
438,39,1,1,2,4,1:21.120,1:20.713,1:21.785
439,39,9,2,10,5,1:21.941,1:21.381,1:22.253
440,39,15,7,12,6,1:22.501,1:21.554,1:22.324
441,39,2,2,9,7,1:21.625,1:21.113,1:22.389
442,39,5,4,4,8,1:21.790,1:21.623,1:22.568
443,39,14,9,14,9,1:22.491,1:21.488,1:22.749
444,39,21,4,3,10,1:22.064,1:21.677,1:22.881
445,39,3,3,16,11,1:21.943,1:21.968,NoData
446,39,22,11,8,12,1:22.502,1:22.097,NoData
447,39,11,8,22,13,1:22.090,1:22.115,NoData
448,39,18,11,7,14,1:22.503,1:22.120,NoData
449,39,19,8,23,15,1:22.295,NoData,NoData
450,39,24,5,18,16,1:22.508,NoData,NoData
451,39,23,7,11,17,1:22.666,NoData,NoData
452,39,25,3,17,18,1:22.769,NoData,NoData
453,39,17,9,15,19,1:23.398,NoData,NoData
454,39,16,12,20,20,1:23.811,NoData,NoData
455,39,27,12,21,21,1:23.990,NoData,NoData
456,39,26,5,19,22,NoData,NoData,NoData
457,40,4,1,1,1,1:16.059,1:15.431,1:15.726
458,40,1,1,2,2,1:15.685,1:15.479,1:15.905
459,40,13,6,5,3,1:16.786,1:16.034,1:15.967
460,40,21,4,3,4,1:17.596,1:16.054,1:16.285
461,40,3,3,16,5,1:16.870,1:16.100,1:16.439
462,40,17,9,15,6,1:17.816,1:16.420,1:16.784
463,40,2,2,9,7,1:17.385,1:15.733,1:16.832
464,40,9,2,10,8,1:17.584,1:15.576,1:16.955
465,40,22,11,8,9,1:17.244,1:16.454,1:17.498
466,40,18,11,7,10,1:17.297,1:16.457,1:17.939
467,40,25,3,17,11,1:17.874,1:16.662,NoData
468,40,24,5,18,12,1:16.720,1:16.703,NoData
469,40,14,9,14,13,1:17.204,1:16.319,NoData
470,40,15,7,12,14,1:17.686,1:16.988,NoData
471,40,5,4,4,15,1:17.836,1:17.125,NoData
472,40,8,6,6,16,1:16.251,NoData,NoData
473,40,19,8,23,17,1:18.250,NoData,NoData
474,40,26,5,19,18,1:18.390,NoData,NoData
475,40,16,12,20,19,1:18.418,NoData,NoData
476,40,23,7,11,20,1:18.539,NoData,NoData
477,40,11,8,22,21,1:18.554,NoData,NoData
478,40,27,12,21,22,NoData,NoData,NoData
479,41,1,1,2,1,1:16.576,1:15.486,1:15.707
480,41,4,1,1,2,1:16.562,1:15.522,1:16.163
481,41,2,2,9,3,1:17.006,1:15.960,1:16.266
482,41,8,6,6,4,1:16.468,1:16.592,1:16.411
483,41,13,6,5,5,1:16.756,1:16.138,1:16.570
484,41,17,9,15,6,1:17.315,1:16.257,1:16.913
485,41,3,3,16,7,1:17.016,1:16.190,1:16.919
486,41,9,2,10,8,1:17.267,1:16.368,1:16.993
487,41,21,4,3,9,1:16.805,1:16.288,1:17.229
488,41,15,7,12,10,1:17.324,1:16.600,1:17.747
489,41,11,8,22,11,1:17.490,1:16.743,NoData
490,41,24,5,18,12,1:17.541,1:16.760,NoData
491,41,22,11,8,13,1:17.011,1:17.116,NoData
